unix,date,open,high,low,close,volume,sma20,sma50
1640995200000,2022-01-01 00:00:00+00:00,46216.93,46527.26,46208.37,46332.51,386.65709,nan,nan
1640996100000,2022-01-01 00:15:00+00:00,46332.52,46421.27,46236.27,46375.42,319.99973,nan,nan
1640997000000,2022-01-01 00:30:00+00:00,46375.42,46689.42,46360.19,46610.81,386.08077,nan,nan
1640997900000,2022-01-01 00:45:00+00:00,46610.81,46731.39,46575.76,46656.13,410.59336,nan,nan
1640998800000,2022-01-01 01:00:00+00:00,46656.14,46767.24,46574.06,46766.99,330.08774,nan,nan
1640999700000,2022-01-01 01:15:00+00:00,46766.99,46949.99,46752.17,46815.33,259.42027,nan,nan
1641000600000,2022-01-01 01:30:00+00:00,46815.34,46884.63,46748.05,46768.1,180.18171,nan,nan
1641001500000,2022-01-01 01:45:00+00:00,46768.11,46861.47,46711.9,46778.14,174.12567,nan,nan
1641002400000,2022-01-01 02:00:00+00:00,46778.14,46867.75,46769.95,46845.97,121.88714,nan,nan
1641003300000,2022-01-01 02:15:00+00:00,46845.98,46928.94,46826.0,46826.01,151.63112,nan,nan
1641004200000,2022-01-01 02:30:00+00:00,46826.0,46826.01,46721.96,46775.91,118.53757,nan,nan
1641005100000,2022-01-01 02:45:00+00:00,46775.9,46860.39,46773.93,46811.77,93.11277,nan,nan
1641006000000,2022-01-01 03:00:00+00:00,46811.77,46851.56,46760.12,46826.1,78.24895,nan,nan
1641006900000,2022-01-01 03:15:00+00:00,46826.11,46916.63,46777.0,46809.15,218.66839,nan,nan
1641007800000,2022-01-01 03:30:00+00:00,46809.16,46900.0,46809.15,46867.98,132.30528,nan,nan
1641008700000,2022-01-01 03:45:00+00:00,46867.98,46898.99,46813.2,46813.2,133.66709,nan,nan
1641009600000,2022-01-01 04:00:00+00:00,46813.21,46887.33,46630.23,46648.04,264.47177,nan,nan
1641010500000,2022-01-01 04:15:00+00:00,46648.04,46720.13,46591.23,46708.14,199.9158,nan,nan
1641011400000,2022-01-01 04:30:00+00:00,46708.13,46783.76,46639.18,46734.52,248.42884,nan,nan
1641012300000,2022-01-01 04:45:00+00:00,46734.52,46842.98,46708.0,46711.05,149.06748,46724.0635,nan
1641013200000,2022-01-01 05:00:00+00:00,46711.05,46780.0,46673.94,46780.0,103.53838,46746.438,nan
1641014100000,2022-01-01 05:15:00+00:00,46780.0,47500.0,46762.63,47379.13,689.54354,46796.6235,nan
1641015000000,2022-01-01 05:30:00+00:00,47379.13,47555.55,47226.39,47300.0,407.37499,46831.083,nan
1641015900000,2022-01-01 05:45:00+00:00,47300.01,47314.47,47135.3,47192.55,200.27951,46857.904,nan
1641016800000,2022-01-01 06:00:00+00:00,47192.56,47324.42,47089.43,47307.04,169.14727,46884.9065,nan
1641017700000,2022-01-01 06:15:00+00:00,47307.03,47307.04,47119.37,47130.36,98.75754,46900.658,nan
1641018600000,2022-01-01 06:30:00+00:00,47130.37,47197.32,47112.91,47158.02,86.74539,46920.154,nan
1641019500000,2022-01-01 06:45:00+00:00,47158.02,47235.49,46940.0,46979.62,259.32756,46930.228,nan
1641020400000,2022-01-01 07:00:00+00:00,46979.61,47044.26,46864.84,46990.23,175.37744,46937.441,nan
1641021300000,2022-01-01 07:15:00+00:00,46990.23,47052.98,46948.41,46959.61,119.88006,46944.121,nan
1641022200000,2022-01-01 07:30:00+00:00,46959.61,47122.91,46945.77,47096.7,132.61288,46960.160500000005,nan
1641023100000,2022-01-01 07:45:00+00:00,47096.69,47255.85,47073.12,47194.73,218.33043,46979.3085,nan
